label,comment,segments
0,肉不好吃#脆香鸡排煲仔饭+半卤蛋##秘制小炒肉煲仔饭+半卤蛋#太辣#功夫烤鸡腿肉煲仔饭+半卤蛋#越吃越没味,"['肉', '不', '好吃', '#', '脆', '香鸡', '排煲', '仔饭', '+', '半卤蛋', '#', '#', '秘制', '小', '炒肉', '煲仔', '饭+', '半卤蛋', '#', '太', '辣', '#', '功夫', '烤', '鸡腿', '肉煲', '仔饭', '+', '半卤蛋', '#', '越', '吃', '越', '没', '味']"
1,恶心，不想说了，喝嘴里嚼两下觉得口感不对，吐出来就是只小蟑螂，关键是我还嚼了两口，昨天喝了，恶心到现在，饮食行业麻烦还是注意哈卫生好吗！！！！！,"['恶心', '，', '不', '想', '说', '了', '，', '喝', '嘴里', '嚼', '两', '下', '觉得', '口感', '不对', '，', '吐', '出来', '就是', '只', '小', '蟑螂', '，', '关键', '是', '我', '还', '嚼', '了', '两', '口', '，', '昨天', '喝', '了', '，', '恶心', '到', '现在', '，', '饮食', '行业', '麻烦', '还是', '注意', '哈卫生', '好', '吗', '！！！！！']"
0,巨难吃，一个咸一个酸,"['巨难', '吃', '，', '一个', '咸', '一个', '酸']"
0,价格实惠，服务态度很好，分量超足，鸭爪入口即化，软糯，很入味，超辣，推荐！,"['价格', '实惠', '，', '服务', '态度', '很', '好', '，', '分量', '超足', '，', '鸭爪', '入口', '即化', '，', '软糯', '，', '很', '入味', '，', '超辣', '，', '推荐', '！']"
0,喜欢这个地方，菜品多，味道也不错，最好点个鸳鸯锅，锅底也是20元,"['喜欢', '这个', '地方', '，', '菜品', '多', '，', '味道', '也', '不错', '，', '最好', '点', '个', '鸳', '鸯锅', '，', '锅底', '也', '是', '20', '元']"
0,真的很不错，吃了俩次了，朋友从外地来，特意带她们来吃的，他们回去吃东西都觉得没味，还是咱们重庆火锅好吃，特别喜欢这个地方，特别是重庆老火锅，价格也很实惠，服务态度不错，就是里面太热了，辣的慌，嘻嘻@，,"['真的', '很', '不错', '，', '吃', '了', '俩', '次', '了', '，', '朋友', '从', '外地', '来', '，', '特意', '带', '她们', '来', '吃', '的', '，', '他们', '回去', '吃', '东西', '都', '觉得', '没味', '，', '还是', '咱们', '重庆', '火锅', '好吃', '，', '特别', '喜欢', '这个', '地方', '，', '特别', '是', '重庆', '老', '火锅', '，', '价格', '也', '很', '实惠', '，', '服务', '态度', '不错', '，', '就是', '里面', '太', '热', '了', '，', '辣', '的', '慌', '，', '嘻嘻', '@', '，']"
0,很好吃，强力推荐，香菜牛肉果然是招牌菜名不虚传,"['很', '好吃', '，', '强力', '推荐', '，', '香菜', '牛肉', '果然', '是', '招牌', '菜名', '不', '虚传']"
0,味道不错，份量不足,"['味道', '不错', '，', '份量', '不足']"
1,真的无语，上两次还觉得可以，今天这个菠萝包里头奶油都臭了，完全不能吃,"['真的', '无语', '，', '上', '两', '次', '还', '觉得', '可以', '，', '今天', '这个', '菠萝包', '里头', '奶油', '都', '臭', '了', '，', '完全', '不', '能', '吃']"
0,第二次来吃了，味道还可以，就在金港国际里面，逛累的可以来吃,"['第二', '次', '来', '吃', '了', '，', '味道', '还', '可以', '，', '就', '在', '金港', '国际', '里面', '，', '逛累', '的', '可以', '来', '吃']"
1,饭里面居然还有虫，好恶心，不想吃了！差评！,"['饭', '里面', '居然', '还有', '虫', '，', '好', '恶心', '，', '不', '想', '吃', '了', '！', '差评', '！']"
1,给一个星星❤️完全是给外卖小哥的，为了给我女朋友送外卖都摔了，心疼。但是这个芒果不能忍，女朋友吃了就拉肚子，分量如图，4年多美团老顾客，第一次外卖给差评,"['给', '一个', '星星', '❤️', '完全', '是', '给', '外卖', '小哥', '的', '，', '为了', '给', '我', '女朋友', '送', '外卖', '都', '摔', '了', '，', '心疼', '。', '但是', '这个', '芒果', '不', '能', '忍', '，', '女朋友', '吃', '了', '就', '拉肚子', '，', '分量', '如', '图', '，', '4', '年', '多', '美团', '老', '顾客', '，', '第一', '次', '外卖', '给', '差评']"
1,吃比萨还有虫子，这是什么商家？,"['吃', '比萨', '还有', '虫子', '，', '这是', '什么', '商家', '？']"
0,送了1个小时，到了东西都冷了,"['送', '了', '1', '个', '小时', '，', '到', '了', '东西', '都', '冷', '了']"
0,点的东西没有加完。,"['点', '的', '东西', '没有', '加完', '。']"
0,性价比算比较高，口味适合我，菜品干净，吃过很多次了,"['性价', '比算', '比较', '高', '，', '口味', '适合', '我', '，', '菜品', '干净', '，', '吃', '过', '很', '多次', '了']"
0,东西还是很不错的，蛋糕很好吃，以后还会去买芒果千层来吃的哈哈,"['东西', '还是', '很', '不错', '的', '，', '蛋糕', '很', '好吃', '，', '以后', '还', '会', '去', '买', '芒果', '千', '层', '来', '吃', '的', '哈哈']"
0,一如既往喜欢他家的掌中宝和地瓜！和闺蜜去看完电影饿了买来填肚子的。。,"['一如既往', '喜欢', '他家', '的', '掌中宝', '和', '地瓜', '！', '和', '闺蜜', '去', '看完', '电影', '饿', '了', '买来', '填', '肚子', '的', '。。']"
0,挺好吃的，人特别的多，服务态度好，环境很干净,"['挺', '好吃', '的', '，', '人', '特别', '的', '多', '，', '服务', '态度', '好', '，', '环境', '很', '干净']"
0,老板热情，餐馆干净，口味不错，下次再来,"['老板', '热情', '，', '餐馆', '干净', '，', '口味', '不错', '，', '下次', '再', '来']"
0,环境很好，团购也可以享受包房，已到他家吃过多次，菜品也很丰富，份量足，包间还有专门的服务员，很不错，有机会还会来。,"['环境', '很', '好', '，', '团购', '也', '可以', '享受', '包房', '，', '已', '到', '他家', '吃', '过', '多次', '，', '菜品', '也', '很', '丰富', '，', '份量', '足', '，', '包间', '还有', '专门', '的', '服务员', '，', '很', '不错', '，', '有', '机会', '还', '会', '来', '。']"
0,来吃过好多次了，几天不吃就想，正宗老火锅的味道，毛肚很巴适，特别推荐他家的麻辣牛肉，安逸得板，就是位置有点难找，还有桌子太少了，如果不预订经常都要等,"['来', '吃', '过', '好', '多次', '了', '，', '几', '天', '不', '吃', '就', '想', '，', '正宗', '老', '火锅', '的', '味道', '，', '毛肚', '很', '巴适', '，', '特别', '推荐', '他家', '的', '麻辣', '牛肉', '，', '安逸', '得板', '，', '就是', '位置', '有点', '难找', '，', '还有', '桌子', '太', '少', '了', '，', '如果', '不', '预订', '经常', '都', '要', '等']"
0,不好吃 都是姜,"['不', '好吃', '都', '是', '姜']"
0,可以 ！可以 ！好吃 ！不错 ！漂亮！高端,"['可以', '！', '可以', '！', '好吃', '！', '不错', '！', '漂亮', '！', '高端']"
0,味道非常不错，四个人三男一女都吃撑了,"['味道', '非常', '不错', '，', '四', '个人', '三', '男', '一', '女', '都', '吃撑', '了']"
0,还可以，来得时候没有人，去得早，态度赞！,"['还', '可以', '，', '来得', '时候', '没有', '人', '，', '去', '得早', '，', '态度', '赞', '！']"
0,很不错哟~~~~,"['很', '不错', '哟', '~~~~']"
0,不错  挺好 几次来买了  挺便宜  服务态度不错,"['不错', '挺', '好', '几', '次', '来', '买', '了', '挺', '便宜', '服务', '态度', '不错']"
0,exo？这是大份，平常在店里吃小份都比这个多好吧，欺骗消费者，呵呵,"['exo', '？', '这是', '大份', '，', '平常', '在', '店里', '吃', '小份', '都', '比', '这个', '多', '好', '吧', '，', '欺骗', '消费者', '，', '呵呵']"
0,量足，味道不错,"['量足', '，', '味道', '不错']"
0,真的超级划算，分量也挺足的，我和男朋友两个人吃，吃得很撑，就是去了位置不好找，地点就是在网吧里面，然后里面有指示牌,"['真的', '超级', '划算', '，', '分量', '也', '挺足', '的', '，', '我', '和', '男朋友', '两', '个人', '吃', '，', '吃', '得', '很', '撑', '，', '就是', '去', '了', '位置', '不', '好找', '，', '地点', '就是', '在', '网吧', '里面', '，', '然后', '里面', '有', '指示牌']"
0,环境很好，味道不错，价格也不贵，菜品新鲜,"['环境', '很', '好', '，', '味道', '不错', '，', '价格', '也', '不', '贵', '，', '菜品', '新鲜']"
0,味道特别赞！已经吃过好几次了,"['味道', '特别', '赞', '！', '已经', '吃', '过', '好几', '次', '了']"
1,别的味道我先不说   吃了拉肚子才是真的,"['别的', '味道', '我', '先', '不说', '吃', '了', '拉肚子', '才', '是', '真', '的']"
0,味道很好，药膳的味道。感觉很补,"['味道', '很', '好', '，', '药膳', '的', '味道', '。', '感觉', '很', '补']"
0,感觉味道还是不错的，团购确实便宜些,"['感觉', '味道', '还是', '不错', '的', '，', '团购', '确实', '便宜', '些']"
1,和室友一起吃了全体拉肚子 今天是第二天又拉了三次,"['和', '室友', '一起', '吃', '了', '全体', '拉肚子', '今天', '是', '第二', '天', '又', '拉', '了', '三', '次']"
0,团购划算些，自家粑粑好吃，就是套餐内的菜不能换,"['团购', '划算些', '，', '自家', '粑粑', '好吃', '，', '就是', '套餐', '内', '的', '菜', '不', '能', '换']"
0,开车过来吃的！味道挺好、环境也不错！以后聚餐就这家了！,"['开车', '过来', '吃', '的', '！', '味道', '挺', '好', '、', '环境', '也', '不错', '！', '以后', '聚餐', '就', '这家', '了', '！']"
0,我明明叫的两份稀饭，看不到吗？再也不买了,"['我', '明明', '叫', '的', '两', '份', '稀饭', '，', '看', '不', '到', '吗', '？', '再', '也', '不', '买', '了']"
0,不是毛血旺么.咋是一盆豆芽呢.从来不写评价的我实在忍不住了.本来饿死了.现在没胃口了.啃面包吧…………,"['不是', '毛血', '旺么', '.', '咋', '是', '一', '盆', '豆芽', '呢', '.', '从来', '不', '写', '评价', '的', '我', '实在', '忍', '不住', '了', '.', '本来', '饿死', '了', '.', '现在', '没', '胃口', '了', '.', '啃', '面包', '吧', '…………']"
1,#【鲜切】海南香蕉王#吃完反胃想吐，整晚都干呕！#《鲜切》苹果#难吃，又不甜！网购第一次差评！放心，如果明天人还是这样，一定会找你们的,"['#', '【', '鲜切', '】', '海南', '香蕉', '王', '#', '吃完', '反胃', '想吐', '，', '整晚', '都', '干呕', '！', '#', '《', '鲜切', '》', '苹果', '#', '难吃', '，', '又', '不', '甜', '！', '网购', '第一', '次', '差评', '！', '放心', '，', '如果', '明天', '人', '还是', '这样', '，', '一定', '会', '找', '你们', '的']"
0,可以 环境不错 服务不错 味道不错,"['可以', '环境', '不错', '服务', '不错', '味道', '不错']"
0,服务很不错，味道有点欠佳，速度比较慢,"['服务', '很', '不错', '，', '味道', '有点', '欠佳', '，', '速度', '比较', '慢']"
0,三个字，好难吃！！,"['三', '个', '字', '，', '好', '难吃', '！', '！']"
0,聚划算！！而且巨好吃！！！ 还送货！！,"['聚划算', '！', '！', '而且', '巨好', '吃', '！', '！', '！', '还', '送货', '！', '！']"
1,卧槽绝对地沟油，油都是黑色的,"['卧槽', '绝对', '地', '沟油', '，', '油', '都', '是', '黑色', '的']"
0,非常好吃，老板非常大方，吃完后还送一份醪糟汤圆,"['非常', '好吃', '，', '老板', '非常', '大方', '，', '吃完', '后', '还', '送', '一', '份', '醪糟', '汤圆']"
0,要得酸菜，酸汤，给我的啥子？根本就没有昨晚的好吃,"['要得', '酸菜', '，', '酸汤', '，', '给', '我', '的', '啥子', '？', '根本', '就', '没有', '昨晚', '的', '好吃']"
0,这个不是正宗的幸福西饼，特别难吃,"['这个', '不是', '正宗', '的', '幸福', '西饼', '，', '特别', '难吃']"
0,讲真，味道不怎么样,"['讲真', '，', '味道', '不', '怎么样']"
0,一直都在她家吃的羊肉粉，味道很正宗好吃强烈推荐,"['一直', '都', '在', '她', '家', '吃', '的', '羊肉粉', '，', '味道', '很', '正', '宗好', '吃', '强烈', '推荐']"
0,老顾客了，不仅汤锅很赞，炒菜也超赞！,"['老', '顾客', '了', '，', '不仅', '汤锅', '很', '赞', '，', '炒菜', '也', '超赞', '！']"
0,很喜欢很喜欢很喜欢  好便宜的！很划算,"['很', '喜欢', '很', '喜欢', '很', '喜欢', '好', '便宜', '的', '！', '很', '划算']"
0,味道很好，虾肉更是好吃，就是螃蟹有点瘦,"['味道', '很', '好', '，', '虾肉', '更', '是', '好吃', '，', '就是', '螃蟹', '有点', '瘦']"
0,味道很好很不错,"['味道', '很', '好', '很', '不错']"
0,吃了一口都不想吃了，太难吃了，肉都变味了，不知道用的什么肉。,"['吃', '了', '一', '口', '都', '不', '想', '吃', '了', '，', '太', '难吃', '了', '，', '肉', '都', '变味', '了', '，', '不', '知道', '用', '的', '什么', '肉', '。']"
0,味道非常不错，都是这家的老客户了。,"['味道', '非常', '不错', '，', '都', '是', '这家', '的', '老', '客户', '了', '。']"
0,炒饭居然都吵糊了，可能是重庆天气太热了,"['炒饭', '居然', '都', '吵糊', '了', '，', '可能', '是', '重庆', '天气', '太', '热', '了']"
1,我勒个去  吃到一半吃掉一只蟑螂 刚想吃一下看着不对  太恶心了,"['我', '勒', '个', '去', '吃到', '一半', '吃掉', '一', '只', '蟑螂', '刚', '想', '吃', '一下', '看', '着', '不对', '太', '恶心', '了']"
0,菜品新鲜，份量足,"['菜品', '新鲜', '，', '份量', '足']"
0,很好喝，妹妹态度也好，去过几次了，爱喝奶茶好,"['很', '好', '喝', '，', '妹妹', '态度', '也好', '，', '去', '过', '几', '次', '了', '，', '爱', '喝', '奶茶', '好']"
0,排队的人很多牛排有点小，不过配菜挺多的～好评,"['排队', '的', '人', '很多', '牛排', '有点', '小', '，', '不过', '配菜', '挺', '多', '的', '～', '好评']"
1,一点芝士都没有，差，差，差，难吃。配送也慢。一点也不开心。,"['一点', '芝士', '都', '没有', '，', '差', '，', '差', '，', '差', '，', '难吃', '。', '配送', '也', '慢', '。', '一点', '也', '不', '开心', '。']"
0,辣鸡的一逼，吃了两口就扔了,"['辣鸡', '的', '一', '逼', '，', '吃', '了', '两', '口', '就', '扔', '了']"
0,好多人吃，大厅都满了，味道不错，值得,"['好多', '人', '吃', '，', '大厅', '都', '满', '了', '，', '味道', '不错', '，', '值得']"
0,很棒，猫猫好可爱！老板很热情，是个放松的好地方,"['很', '棒', '，', '猫', '猫好', '可爱', '！', '老板', '很', '热情', '，', '是', '个', '放松', '的', '好', '地方']"
0,第二次到店消费，服务菜品都不错。团购性价比高些，烤鸭味道色、香、味、美。一家人吃得很开心。,"['第二', '次', '到', '店', '消费', '，', '服务', '菜品', '都', '不错', '。', '团购', '性价比', '高些', '，', '烤鸭', '味', '道色', '、', '香', '、', '味', '、', '美', '。', '一家人', '吃', '得', '很', '开心', '。']"
0,菜品不错服务周到味道也挺好，就是素菜少了点,"['菜品', '不错', '服务', '周到', '味道', '也', '挺', '好', '，', '就是', '素菜', '少', '了', '点']"
0,好   味道挺好的  去了几次了  关键是态度挺好  不会像有些人说的   是团购就会态度不好,"['好', '味道', '挺', '好的', '去', '了', '几', '次', '了', '关键', '是', '态度', '挺', '好', '不', '会', '像', '有些', '人', '说', '的', '是', '团购', '就', '会', '态度', '不', '好']"
0,第二次来啦，榴莲披萨还是那么棒！！意面也很不错,"['第二', '次', '来', '啦', '，', '榴莲', '披萨', '还是', '那么', '棒', '！', '！', '意面', '也', '很', '不错']"
0,非常满意的一次就餐，服务员态度非常的好，上菜速度非常快，下次还会再来的，鲁西肥牛我爱你！,"['非常', '满意', '的', '一', '次', '就餐', '，', '服务员', '态度', '非常', '的', '好', '，', '上菜', '速度', '非常', '快', '，', '下次', '还', '会', '再', '来', '的', '，', '鲁西', '肥牛', '我', '爱', '你', '！']"
0,挺好的，巧克力的，很好看，性价比高,"['挺', '好的', '，', '巧克力', '的', '，', '很', '好看', '，', '性价比', '高']"
0,一如既往的好喝，方便不排队，下次还会来,"['一如既往', '的', '好', '喝', '，', '方便', '不', '排队', '，', '下次', '还', '会', '来']"
0,全是些海椒不是很好吃,"['全', '是', '些', '海椒', '不是', '很', '好吃']"
0,菜品比较多，酒水免费，口味也比较好~~~~,"['菜品', '比较', '多', '，', '酒水', '免费', '，', '口味', '也', '比较', '好', '~~~~']"
0,服务周到，口味也比较好，好评。。。。,"['服务', '周到', '，', '口味', '也', '比较', '好', '，', '好评', '。。。。']"
0,在机场找到的、味道不错哦，经济又实惠,"['在', '机场', '找到', '的', '、', '味道', '不错', '哦', '，', '经济', '又', '实惠']"
0,菜品新鲜，物美价廉，朋友们一致好评#麻椒菌花# #梅子酒#,"['菜品', '新鲜', '，', '物美价廉', '，', '朋友们', '一致', '好评', '#', '麻椒', '菌花', '#', '#', '梅子', '酒', '#']"
0,就是地方不是很好找 找了两三次 老板人超级好 东西也好吃 推荐推荐,"['就是', '地方', '不是', '很', '好找', '找', '了', '两三', '次', '老板', '人', '超级', '好', '东西', '也', '好吃', '推荐', '推荐']"
0,就在学林街这里，比较好找。最主要的是干锅味道不错。我和男朋友两个人吃得饱饱的，分量足而且味道好哟～,"['就', '在', '学林街', '这里', '，', '比较', '好找', '。', '最', '主要', '的', '是', '干锅', '味道', '不错', '。', '我', '和', '男朋友', '两', '个人', '吃', '得', '饱饱', '的', '，', '分量', '足而且', '味道', '好', '哟', '～']"
0,太咸，没法吃，希望大家慎重点餐,"['太', '咸', '，', '没法', '吃', '，', '希望', '大家', '慎', '重点', '餐']"
1,汉堡里面的肉都是生的。而且还有一个汉堡没有，而且薯条量少又难吃，,"['汉堡', '里面', '的', '肉', '都', '是', '生', '的', '。', '而且', '还有', '一个', '汉堡', '没有', '，', '而且', '薯条', '量少', '又', '难吃', '，']"
0,看起一份很多，其是是骗人的，可能一份只有两根，我点了十五份菜煮了只有一半盒，一个人都不够吃，还花了四十几块钱，完全是尖商，建议点餐的朋友不要再点他们家。味道不好，份量更行,"['看起', '一', '份', '很多', '，', '其', '是', '是', '骗人', '的', '，', '可能', '一', '份', '只有', '两', '根', '，', '我', '点', '了', '十五', '份', '菜煮', '了', '只有', '一半盒', '，', '一个', '人', '都', '不够', '吃', '，', '还', '花', '了', '四十几', '块钱', '，', '完全', '是', '尖商', '，', '建议', '点餐', '的', '朋友', '不要', '再', '点', '他们', '家', '。', '味道', '不', '好', '，', '份量', '更', '行']"
0,好吃，实惠，里面还有免费的蛋炒饭，银耳汤,"['好吃', '，', '实惠', '，', '里面', '还有', '免费', '的', '蛋炒饭', '，', '银耳', '汤']"
0,食材新鲜，环境优雅，价格合理，嗯，食材也很充足。各式各样糕点也很漂亮。牛排呀，大虾呀，还有扇贝食材都很新鲜，很好吃，甜点也不错。是回头客哟。,"['食材', '新鲜', '，', '环境', '优雅', '，', '价格', '合理', '，', '嗯', '，', '食材', '也', '很', '充足', '。', '各式', '各样', '糕点', '也', '很', '漂亮', '。', '牛排', '呀', '，', '大虾', '呀', '，', '还有', '扇贝', '食材', '都', '很', '新鲜', '，', '很', '好吃', '，', '甜点', '也', '不错', '。', '是', '回头', '客哟', '。']"
0,还可以，味道一般吧，就是没有下饭的菜,"['还', '可以', '，', '味道', '一般', '吧', '，', '就是', '没有', '下饭', '的', '菜']"
1,泡芙都是霉的，每一个上面都有霉点！昨天晚上买的，今早上才发现！！我居然吃了四五个，想着都要吐了！！,"['泡芙', '都', '是', '霉', '的', '，', '每', '一个', '上面', '都', '有', '霉点', '！', '昨天', '晚上', '买', '的', '，', '今', '早上', '才', '发现', '！', '！', '我', '居然', '吃', '了', '四五', '个', '，', '想', '着', '都', '要', '吐', '了', '！', '！']"
0,还不错，适合三两个朋友一起去喝个早茶。,"['还', '不错', '，', '适合', '三', '两', '个', '朋友', '一起', '去', '喝', '个', '早茶', '。']"
0,还不错 蛮好吃,"['还', '不错', '蛮好', '吃']"
0,一如既往的喜欢这里   好吃好吃好吃极了,"['一如既往', '的', '喜欢', '这里', '好', '吃好', '吃好', '吃极', '了']"
0,味道不错   菜量一般,"['味道', '不错', '菜量', '一般']"
1,能告诉我为什么米饭是馊的吗,"['能', '告诉', '我', '为什么', '米饭', '是', '馊', '的', '吗']"
0,一如既往的好！位置好找，服务态度也可以。最喜欢桂花米酒汤圆！！！#红糖糍粑# #桂花米酒小汤# #脆皮春卷#,"['一如既往', '的', '好', '！', '位置', '好找', '，', '服务', '态度', '也', '可以', '。', '最', '喜欢', '桂花', '米酒', '汤圆', '！', '！', '！', '#', '红糖', '糍粑', '#', '#', '桂花', '米酒', '小汤', '#', '#', '脆皮', '春卷', '#']"
0,味道不错 鱼也不错 人很多 挺喜欢的,"['味道', '不错', '鱼', '也', '不错', '人', '很多', '挺', '喜欢', '的']"
0,团了好多次啦 很好吃很香 生意很好,"['团', '了', '好', '多次', '啦', '很', '好吃', '很', '香', '生意', '很', '好']"
0,吃的牛肉粉，味道很好，量也很足，老板态度超级好~ 值得推荐！下次还要去吃~,"['吃', '的', '牛肉粉', '，', '味道', '很', '好', '，', '量', '也', '很', '足', '，', '老板', '态度', '超级', '好', '~', '值得', '推荐', '！', '下次', '还要', '去', '吃', '~']"
0,上菜速度快 服务到位 值得推荐,"['上菜', '速度', '快', '服务', '到位', '值得', '推荐']"
0,经济实惠  味道也不错 下次就选定你们家了  只是有一点同价位也不能换菜 如果能改一下就好了！,"['经济', '实惠', '味道', '也', '不错', '下次', '就', '选定', '你们', '家', '了', '只是', '有', '一点', '同价', '位', '也', '不', '能', '换', '菜', '如果', '能', '改', '一下', '就', '好', '了', '！']"
0,就在我家对面，非常好，吃的很满意，服务员对我挺好的，还会再去的,"['就', '在', '我家', '对面', '，', '非常', '好', '，', '吃', '的', '很', '满意', '，', '服务员', '对', '我', '挺', '好的', '，', '还', '会', '再', '去', '的']"
1,不知怎么的，泡椒血旺是臭的！,"['不知', '怎么', '的', '，', '泡椒', '血旺', '是', '臭', '的', '！']"
0,环境优雅安静舒适，菜品味道不错,"['环境', '优雅', '安静', '舒适', '，', '菜品', '味道', '不错']"
1,刚才掉地上了，说的重新送，是回收的吧，还有一块石头，太垃圾了，等了这么久，摔了我又没有怪你们，还来回收了送来，真的够了,"['刚才', '掉地', '上', '了', '，', '说', '的', '重新', '送', '，', '是', '回收', '的', '吧', '，', '还有', '一块', '石头', '，', '太', '垃圾', '了', '，', '等', '了', '这么', '久', '，', '摔', '了', '我', '又', '没有', '怪', '你们', '，', '还', '来', '回收', '了', '送来', '，', '真的', '够', '了']"
0,菜品很新鲜  环境也不错 就是锅底太贵了,"['菜品', '很', '新鲜', '环境', '也', '不错', '就是', '锅底', '太', '贵', '了']"
0,味道赞，包装很漂亮，送货也很快，娃娃胸前的三朵粉色花里都有纸片状的固体，不知道是什么，能不能食用,"['味道', '赞', '，', '包装', '很', '漂亮', '，', '送货', '也', '很快', '，', '娃娃', '胸前', '的', '三', '朵', '粉色', '花里', '都', '有', '纸片状', '的', '固体', '，', '不', '知道', '是', '什么', '，', '能', '不', '能', '食用']"
0,味道好，服务态度好。分量足。值得再次来品尝。,"['味道', '好', '，', '服务', '态度', '好', '。', '分量', '足', '。', '值得', '再次', '来', '品尝', '。']"
0,不错，实惠又好,"['不错', '，', '实惠', '又', '好']"
0,不错，经常来的，吃了N次了，爽歪歪,"['不错', '，', '经常', '来', '的', '，', '吃', '了', 'N次', '了', '，', '爽歪歪']"
0,多年老店，味道好，服务好。推荐。,"['多年', '老店', '，', '味道', '好', '，', '服务', '好', '。', '推荐', '。']"
0,除了位置有点难找，其他都挺好，是看着现做的，喝的是奶味重的，挺不错,"['除了', '位置', '有点', '难找', '，', '其他', '都', '挺', '好', '，', '是', '看', '着', '现', '做', '的', '，', '喝', '的', '是', '奶味', '重', '的', '，', '挺', '不错']"
0,据说不错，帮别人团购的。团购很划算,"['据说', '不错', '，', '帮', '别人', '团购', '的', '。', '团购', '很', '划算']"
0,跟同学来过好几次了，好评好评感,"['跟', '同学', '来', '过', '好几', '次', '了', '，', '好', '评好', '评感']"
1,饭是馊的，怎么看都不想香辣鸡,"['饭', '是', '馊', '的', '，', '怎么', '看', '都', '不', '想', '香辣', '鸡']"
0,还可以，糊辣壳很有特色，味道也很好，唯一美中不足的是面条，我比较喜欢吃面，南川的面店基本上都试吃过了，总结起来大多数店里的面都是南川本地供货的，南川本地制作的面吃起来碱性很重，口感欠佳，所以我一般只固定吃那么两三家的面。博赛那边也有一家黑娃面，它的面条就很好吃，起初还以为是同一家的诶。当然，我不是说东风路这家黑娃面不好，很好，很有特色，味道也很正宗，若是没我这么挑剔的人，是相当不错的选择。店家若是想要精益求精呢，个人建议可以考虑换家供货商，不知道卖家和对面的重庆小面熟不，她家的面条就挺好，听说是从万盛拿的,"['还', '可以', '，', '糊辣壳', '很', '有', '特色', '，', '味道', '也', '很', '好', '，', '唯一', '美中不足', '的', '是', '面条', '，', '我', '比较', '喜欢', '吃面', '，', '南川', '的', '面店', '基本上', '都', '试吃', '过', '了', '，', '总结', '起来', '大多数', '店里', '的', '面', '都', '是', '南川', '本地', '供货', '的', '，', '南川', '本地', '制作', '的', '面', '吃', '起来', '碱性', '很', '重', '，', '口感', '欠佳', '，', '所以', '我', '一般', '只', '固定', '吃', '那么', '两三', '家', '的', '面', '。', '博赛', '那边', '也', '有', '一家', '黑', '娃面', '，', '它', '的', '面条', '就', '很', '好吃', '，', '起初', '还', '以为', '是', '同一', '家', '的', '诶', '。', '当然', '，', '我', '不是', '说', '东风路', '这家', '黑', '娃面', '不', '好', '，', '很', '好', '，', '很', '有', '特色', '，', '味道', '也', '很', '正宗', '，', '若是', '没', '我', '这么', '挑剔', '的', '人', '，', '是', '相当', '不错', '的', '选择', '。', '店家', '若是', '想要', '精益求精', '呢', '，', '个人', '建议', '可以', '考虑', '换家', '供货商', '，', '不', '知道', '卖家', '和', '对面', '的', '重庆', '小面', '熟', '不', '，', '她', '家', '的', '面条', '就', '挺', '好', '，', '听说', '是', '从', '万盛拿', '的']"
0,菜和饭一个餐盒  量少没汤,"['菜', '和', '饭', '一个', '餐盒', '量少', '没', '汤']"
0,味道很好，分量较足，已经光顾很多次了。,"['味道', '很', '好', '，', '分量', '较', '足', '，', '已经', '光顾', '很', '多次', '了', '。']"
